group,metric,N,kf_median,interp_median,delta_median,kf_mean,interp_mean,kf_p25,kf_p75,interp_p25,interp_p75,win_rate
low,corr,146,0.307502597615228,0.236666802246469,0.0708357953687584,0.341002996195762,0.272132029615905,0.19342718050428,0.491172454803058,0.103581041295297,0.450132251255847,0.643835616438356
low,NSE,146,0.0581728160412401,-0.0687243365277053,0.126897152568945,-7.36224467696896,-78.5016423463908,-0.110394603309104,0.171239343626122,-3.04996551253345,0.14274313247979,0.712328767123288
low,rRMSE,146,97.0477776075443,103.379049302535,-6.33127169499048,147.744532547066,334.204986077266,91.0362925636737,105.375262908764,92.5881670366257,201.245261125162,0.712328767123288
low,rB,146,43.9874841663787,51.8651531090808,-7.877668942702,295.40025157369,364.972085376805,15.4654951164788,136.207195169792,17.9556052323768,207.623645472865,0.513698630136986
mid,corr,715,0.625922996122838,0.563249696451395,0.0626732996714432,0.58387841302544,0.520783935097327,0.442307029660822,0.752000702267585,0.353501819461457,0.738379368018294,0.637762237762238
mid,NSE,715,0.264328466226472,0.199737177212757,0.0645912890137142,-10.1754586352949,-131.58728466549,0.116851813683342,0.424687833776229,-0.00277358362004043,0.44018427845194,0.58041958041958
mid,rRMSE,715,85.771296700792,89.4574101339426,-3.68611343315069,116.386518396064,205.964974211958,75.8492529979845,93.9759291186209,74.8208331029784,100.138583009159,0.58041958041958
mid,rB,715,17.3035757475503,20.3149970795601,-3.01142133200989,175.709544370183,255.828291149503,7.50510599361876,46.8706086370279,8.10431655671623,55.8889738930931,0.503496503496504
high,corr,160,0.744230796716014,0.72065333370432,0.0235774630116943,0.670128743899228,0.620269305791169,0.577016653668815,0.837746791728849,0.512052055050367,0.833400217413506,0.6
high,NSE,160,0.392751298571731,0.418241550533879,-0.0254902519621479,-34.5984788946505,-73.3981623383841,0.203021513218234,0.603969577953353,0.0667530297917539,0.590744838705121,0.51875
high,rRMSE,160,77.9260230725284,76.2728417632427,1.65318130928564,138.318389246311,179.576203082878,62.9308121898987,89.2736289429507,63.9728517165542,96.6025168872965,0.51875
high,rB,160,17.1684927768804,19.6782842015662,-2.50979142468581,119.837547632054,113.912507607931,8.76058931728853,37.8586473454899,9.50241317299834,46.8570792842014,0.45625
