group,metric,N,kf_median,interp_median,delta_median,kf_mean,interp_mean,kf_p25,kf_p75,interp_p25,interp_p75,win_rate,tie_rate
low,corr,9,0.206752787528818,0.103581041295297,0.103171746233521,0.193434703554085,0.110479018797875,0.144729834984516,0.258348314211729,-0.0586489377249573,0.146721518552321,0.666666666666667,0
low,NSE,9,-0.0581818017180196,-0.316310190135186,0.258128388417166,-0.339558648612021,-1.6125296882613,-0.400193440949551,0.0576589119180327,-1.32429887217085,-0.0873510241209996,0.888888888888889,0
low,rRMSE,9,102.86796399842,114.730562194002,-11.8625981955826,113.078288069412,147.857015507972,97.0742544695537,118.329769751722,104.276124981752,152.456514198995,0.888888888888889,0
low,rB,9,34.9582422588183,39.5757044121522,-4.61746215333387,107.201445091704,129.79669638983,6.10407303427433,141.581817124907,23.4171567367295,152.781543187949,0.555555555555556,0
mid,corr,68,0.610154689941617,0.576654598844049,0.0335000910975677,0.55927528752225,0.509967072323929,0.44478718583892,0.747109663607741,0.334997502459317,0.751604053399127,0.588235294117647,0
mid,NSE,68,0.29076651729992,0.233163149849498,0.0576033674504222,0.0120235143367028,-0.605877646455887,0.113402750231877,0.466131945276325,-0.167324134122911,0.421793747114078,0.617647058823529,0
mid,rRMSE,68,84.2158946773899,87.5680409193981,-3.35214624200816,90.2076123947842,105.43706471468,73.0660489018661,94.1590139346353,76.0398745960792,108.041598593051,0.617647058823529,0
mid,rB,68,28.5203931815302,31.4349912102428,-2.91459802871262,47.8888930418075,50.5980445312958,12.2797251747648,46.9241007504074,13.4414752005331,53.4822792689118,0.485294117647059,0
high,corr,9,0.549888413167928,0.517710914084823,0.0321774990831056,0.54850259234016,0.495254028950202,0.357226550118184,0.794647221719697,0.41742461276765,0.678316024481556,0.555555555555556,0
high,NSE,9,0.255856813340218,0.236933054895818,0.0189237584444001,0.306503324188968,-1.59987280430375,0.00768725100545475,0.623453686224507,-0.232769577445098,0.437512034024025,0.555555555555556,0
high,rRMSE,9,86.2637343650147,87.3537031329629,-1.08996876794824,80.4077431502948,131.049194781114,61.3633696740566,99.6148959239804,74.9991977274407,111.030157049565,0.555555555555556,0
high,rB,9,25.6180846220817,27.091189977967,-1.47310535588534,30.6812661954735,39.2674953396417,13.0950090012823,27.6214213285208,14.5835763013855,63.7006214453829,0.333333333333333,0
